X,Y,objectid,join_count,target_fid,id,d,e,datum,den,rok,mesic,srazka,pricina,alkohol,zavineni,nasledky,stav_vozovky,povetrnostni_podm,viditelnost,rozhled,misto_nehody,druh_komun,druh_vozidla,stav_ridic,ovlivneni_ridice,osoba,ozn_osoba,pohlavi,nasledek,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,cas,hodina,mesic_t,den_v_tydnu,vek_skupina,nazev,point_x,point_y,globalid
-604238.932300001,-1157191.1516,370,1,371,60206131880,-604238.933,-1157191.152,2013/09/23 00:00:00+00,1,2013,9,srážka s pevnou překážkou,řidič se plně nevěnoval řízení vozidla,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, zhoršená viditelnost (svítání, soumrak)",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,210,545,5,září,pondělí,45-60,Brno-Bystrc,16.51981281,49.22107586,{7E46AEB6-BC1F-4A92-A638-C845378A44AF}
-600030.868299998,-1153186.2167,371,1,372,60206131937,-600030.869,-1153186.217,2013/10/01 00:00:00+00,2,2013,10,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,450,953,9,říjen,úterý,33-44,Brno-Ivanovice,16.57131149,49.26097566,{EEC1DE01-5331-4D62-A7E9-B5A0D7AFF569}
-598447.020300001,-1161369.9976,372,1,373,60206131990,-598447.021,-1161369.998,2013/10/07 00:00:00+00,1,2013,10,"srážka s vozidlem zaparkovaným, odstaveným",řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,200,1600,16,říjen,pondělí,12-15,Brno-střed,16.6050338,49.18934536,{3ADC8351-3DCE-4327-A69E-2ABB2A1E94FB}
-597531.840300001,-1161862.5206,373,1,374,60206132036,-597531.841,-1161862.521,2013/10/10 00:00:00+00,4,2013,10,srážka s jedoucím nekolejovým vozidlem,nepřizpůsobení rychlosti intenzitě (hustotě) provozu,Nezjišťován,řidičem nemotorového vozidla,nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,parkoviště přiléhající ke komunikaci,komunikace sledovaná (ve vybraných městech),jízdní kolo,,,,,,,0,0,0,100,1520,15,říjen,čtvrtek,,Brno-střed,16.61824258,49.18582588,{59E8A3D2-14DB-45AB-A830-3946F6EA1414}
-595077.114300001,-1161047.9787,374,1,375,60206132072,-595077.115,-1161047.979,2013/10/16 00:00:00+00,3,2013,10,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,déšť,"v noci - s veřejným osvětlením, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.)",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,110,1,0,říjen,středa,33-44,Brno-Židenice,16.6505311,49.19547287,{DDFEDE53-F227-4639-A76D-504884815A28}
-603359.811299998,-1160172.5386,375,1,376,60206132075,-603359.812,-1160172.539,2013/10/16 00:00:00+00,3,2013,10,srážka s jedoucím nekolejovým vozidlem,při vjíždění na silnici,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,50,645,6,říjen,středa,33-44,Brno-Kohoutovice,16.53624755,49.19528176,{F8F21D03-34C8-4C01-AD80-C34813EF9EDD}
-596897.239300001,-1157875.0656,376,1,377,60206132082,-596897.24,-1157875.066,2013/10/17 00:00:00+00,4,2013,10,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,180,550,5,říjen,čtvrtek,33-44,Brno-Královo Pole,16.62102957,49.2220885,{54CAAEA3-E4F3-4763-9D9B-0EA7494EB2C5}
-601289.285300002,-1160649.9327,377,1,378,60206132128,-601289.286,-1160649.933,2013/10/22 00:00:00+00,2,2013,10,srážka s jedoucím nekolejovým vozidlem,jiné nedání přednosti,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,220,1250,12,říjen,úterý,24-32,Brno-střed,16.56519951,49.19302873,{278E72D1-077C-46C4-9B4D-C0C3A62FA965}
-598941.971299998,-1159177.9996,378,1,379,60206132135,-598941.972,-1159178,2013/10/23 00:00:00+00,3,2013,10,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, zhoršená viditelnost (svítání, soumrak)",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,260,713,7,říjen,středa,24-32,Brno-střed,16.59504592,49.2084639,{ADDADD83-5CF3-4040-8451-1CE412531F8A}
-598017.366300002,-1161123.0906,379,1,380,60206132236,-598017.367,-1161123.091,2013/11/06 00:00:00+00,3,2013,11,havárie,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,720,7,listopad,středa,45-60,Brno-střed,16.61053057,49.19196801,{69AFC7B5-F81E-4EC6-8116-C15FFC18C5C3}
